Box Coordinates
=========================
Box 1: [221, 69, 639, 478]
Box 1: [233, 62, 639, 479]
Box 1: [234, 65, 640, 479]
Box 1: [233, 60, 640, 479]
Box 1: [233, 62, 640, 479]
Box 1: [233, 65, 639, 479]
Box 1: [233, 64, 639, 479]
Box 1: [233, 62, 640, 479]
Box 1: [233, 63, 639, 479]
Box 1: [233, 61, 639, 479]
Box 1: [234, 64, 639, 479]
Box 1: [234, 63, 639, 479]
Box 1: [234, 62, 639, 479]
Box 1: [234, 65, 639, 479]
Box 1: [235, 62, 640, 479]
Box 1: [233, 68, 640, 478]
Box 1: [235, 66, 640, 479]
Box 1: [235, 65, 639, 479]
Box 1: [233, 70, 640, 478]
Box 1: [235, 65, 640, 479]
Box 1: [236, 66, 640, 479]
Box 1: [235, 64, 640, 479]
Box 1: [234, 71, 640, 478]
Box 1: [234, 71, 640, 478]
Box 1: [235, 62, 640, 479]
Box 1: [235, 64, 640, 479]
Box 1: [236, 70, 640, 479]
Box 1: [236, 65, 639, 479]
Box 1: [236, 71, 640, 479]
Box 1: [234, 72, 640, 478]
Box 1: [236, 71, 639, 479]
Box 1: [235, 70, 639, 479]
Box 1: [234, 72, 640, 478]
Box 1: [234, 72, 640, 478]
Box 1: [234, 72, 640, 478]
Box 1: [233, 73, 640, 478]
Box 1: [233, 73, 640, 478]
Box 1: [234, 72, 640, 478]
Box 1: [236, 68, 639, 479]
Box 1: [234, 73, 640, 478]
Box 1: [236, 70, 639, 479]
Box 1: [235, 73, 640, 478]
Box 1: [234, 73, 640, 478]
Box 1: [235, 72, 640, 478]
Box 1: [234, 72, 640, 478]
Box 1: [236, 67, 639, 479]
Box 1: [235, 73, 640, 478]
Box 1: [235, 73, 640, 477]
Box 1: [235, 71, 640, 477]
Box 1: [236, 73, 640, 479]
Box 1: [235, 73, 640, 478]
Box 1: [235, 72, 640, 478]
Box 1: [237, 69, 639, 479]
Box 1: [235, 72, 640, 478]
Box 1: [235, 72, 640, 478]
Box 1: [235, 73, 640, 478]
Box 1: [236, 73, 639, 478]
Box 1: [237, 67, 639, 479]
Box 1: [236, 68, 639, 479]
Box 1: [236, 73, 640, 478]
Box 1: [235, 72, 640, 478]
Box 1: [235, 73, 639, 478]
Box 1: [236, 71, 639, 479]
Box 1: [237, 73, 639, 479]
Box 1: [235, 74, 640, 478]
Box 1: [236, 72, 640, 478]
Box 1: [236, 73, 640, 478]
Box 1: [235, 73, 640, 478]
Box 1: [235, 73, 640, 478]
Box 1: [235, 74, 640, 478]
Box 1: [235, 74, 640, 478]
Box 1: [236, 70, 640, 479]
Box 1: [236, 73, 640, 478]
Box 1: [237, 76, 639, 479]
Box 1: [237, 76, 640, 479]
Box 1: [237, 73, 639, 479]
Box 1: [236, 74, 640, 477]
Box 1: [235, 75, 640, 478]
Box 1: [236, 74, 640, 478]
Box 1: [237, 77, 639, 479]
Box 1: [237, 76, 639, 479]
Box 1: [237, 74, 639, 479]
Box 1: [237, 73, 639, 479]
Box 1: [238, 72, 640, 479]
Box 1: [238, 72, 640, 479]
Box 1: [237, 75, 639, 479]
Box 1: [237, 70, 639, 479]
Box 1: [235, 73, 640, 478]
Box 1: [237, 73, 639, 479]
Box 1: [238, 71, 639, 479]
Box 1: [238, 74, 638, 479]
Box 1: [240, 79, 640, 479]
Box 1: [242, 73, 639, 478]
Box 1: [242, 70, 640, 479]
Box 1: [240, 72, 640, 478]
Box 1: [241, 70, 639, 479]
Box 1: [242, 80, 640, 479]
Box 1: [242, 80, 640, 479]
Box 1: [242, 74, 640, 479]
Box 1: [242, 77, 640, 479]
Box 1: [242, 78, 640, 479]
Box 1: [243, 81, 640, 479]
Box 1: [242, 83, 638, 479]
Box 1: [244, 81, 638, 479]
Box 1: [244, 78, 638, 479]
Box 1: [244, 77, 638, 479]
Box 1: [243, 77, 638, 479]
Box 1: [237, 33, 638, 479]
Box 1: [237, 33, 638, 479]
Box 1: [0, 93, 613, 479]
Box 1: [449, 350, 620, 479]
Box 2: [0, 102, 496, 479]
Box 1: [436, 347, 637, 479]
Box 2: [0, 113, 261, 476]
Box 3: [1, 107, 544, 479]
Box 1: [0, 110, 540, 479]
Box 2: [437, 353, 600, 479]
Box 1: [0, 110, 540, 479]
Box 2: [437, 353, 600, 479]
Box 1: [461, 359, 618, 479]
Box 2: [2, 119, 480, 479]
Box 1: [483, 354, 638, 479]
Box 2: [9, 121, 495, 479]
Box 1: [489, 351, 639, 479]
Box 2: [9, 119, 487, 479]
Box 1: [498, 350, 639, 479]
Box 2: [6, 110, 516, 479]
Box 1: [12, 108, 615, 479]
Box 2: [500, 350, 639, 479]
Box 1: [517, 350, 639, 479]
Box 2: [11, 131, 576, 479]
Box 1: [522, 361, 639, 479]
Box 2: [3, 125, 528, 479]
Box 1: [522, 359, 639, 479]
Box 2: [11, 113, 516, 479]
Box 1: [516, 360, 639, 479]
Box 2: [1, 126, 549, 479]
Box 1: [516, 360, 639, 479]
Box 2: [1, 126, 549, 479]
Box 1: [516, 363, 639, 479]
Box 2: [1, 124, 530, 479]
Box 1: [513, 365, 639, 479]
Box 2: [1, 125, 530, 479]
Box 1: [512, 364, 639, 479]
Box 2: [3, 110, 530, 479]
Box 1: [510, 364, 639, 479]
Box 2: [2, 123, 535, 479]
Box 1: [509, 363, 639, 479]
Box 2: [1, 123, 533, 479]
Box 1: [516, 363, 639, 479]
Box 2: [1, 111, 535, 479]
Box 1: [1, 112, 537, 479]
Box 2: [513, 364, 639, 479]
Box 1: [513, 366, 639, 479]
Box 2: [2, 111, 534, 479]
Box 1: [514, 369, 639, 479]
Box 2: [3, 111, 547, 479]
Box 1: [513, 368, 639, 479]
Box 2: [4, 111, 546, 479]
Box 1: [514, 367, 639, 479]
Box 2: [4, 112, 547, 479]
Box 1: [516, 368, 639, 479]
Box 2: [2, 107, 572, 479]
Box 1: [513, 368, 639, 479]
Box 2: [11, 109, 520, 479]
Box 1: [513, 368, 639, 479]
Box 2: [11, 109, 520, 479]
Box 1: [512, 368, 639, 479]
Box 2: [7, 113, 562, 479]
Box 1: [3, 107, 572, 479]
Box 2: [513, 369, 639, 479]
Box 1: [512, 369, 639, 479]
Box 2: [3, 112, 523, 479]
Box 1: [514, 369, 639, 479]
Box 2: [13, 130, 523, 479]
Box 1: [515, 367, 640, 479]
Box 2: [18, 119, 519, 479]
Box 1: [4, 120, 634, 480]
Box 2: [483, 343, 639, 479]
Box 1: [1, 138, 637, 479]
Box 2: [475, 335, 639, 479]
Box 1: [0, 120, 617, 479]
Box 2: [461, 325, 638, 462]
Box 1: [0, 146, 634, 479]
Box 2: [421, 316, 588, 439]
Box 1: [403, 323, 639, 473]
Box 2: [1, 119, 614, 479]
Box 1: [402, 325, 639, 462]
Box 1: [400, 325, 639, 463]
Box 1: [397, 325, 639, 468]
Box 1: [398, 324, 639, 464]
Box 1: [1, 129, 625, 479]
Box 2: [405, 323, 639, 454]
Box 1: [0, 129, 630, 479]
Box 2: [412, 324, 638, 455]
Box 1: [433, 327, 610, 455]
Box 2: [1, 130, 639, 479]
Box 1: [458, 335, 639, 477]
Box 2: [0, 133, 603, 479]
Box 1: [484, 345, 639, 479]
Box 2: [1, 136, 633, 479]
Box 3: [0, 145, 443, 479]
Box 1: [488, 346, 639, 479]
Box 2: [2, 125, 623, 479]
Box 1: [4, 146, 586, 479]
Box 2: [513, 357, 639, 479]
Box 1: [543, 392, 639, 479]
Box 2: [6, 170, 495, 479]
Box 1: [547, 397, 639, 479]
Box 2: [1, 177, 390, 479]
Box 1: [547, 397, 639, 479]
Box 2: [2, 177, 389, 479]
Box 3: [0, 175, 547, 479]
Box 1: [550, 401, 639, 479]
Box 2: [1, 179, 391, 479]
Box 1: [550, 401, 639, 479]
Box 2: [1, 179, 391, 479]
Box 1: [28, 192, 518, 479]
Box 1: [45, 199, 423, 479]
Box 1: [44, 199, 423, 479]
